gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
MRPL11	770.7115912590814	0.19771653716371845	0.04809124363919705	4.111279355698933	3.934727806416843e-5	8.159938873710097e-5	P-Adj < 0.05
PPIH	648.7078134688517	0.56471002072128	0.03919639554953763	14.407192620749573	4.662817216962236e-47	4.433263138588711e-45	P-Adj < 0.05
NOM1	1473.3857697896342	0.6100595652111156	0.057249998742305866	10.656062508527212	1.6336836704281727e-26	2.4328108634327968e-25	P-Adj < 0.05
GPATCH4	850.5979209760196	0.1862699743722223	0.08100846416341129	2.299389036637902	0.021482857936787857	0.031201894723701284	P-Adj < 0.05
CELF4	1658.5327254979318	1.8124163940573406	0.2537729557125102	7.141881564836872	9.206190770665985e-13	4.359713330476306e-12	P-Adj < 0.05
PCDHGA9	2666.4319731834644	-0.913961939954929	0.1500754323654777	-6.090017037093476	1.1289867242381946e-9	3.844153143687076e-9	P-Adj < 0.05
RBM4B	1097.7899542188786	0.15156699373069507	0.05787541720851531	2.6188492634899703	0.008822692342880929	0.013512822473111311	P-Adj < 0.05
TTF2	1010.1653019081019	0.422185338642855	0.06762489928401266	6.243045728907498	4.2913137244522545e-10	1.5523482155745186e-9	P-Adj < 0.05
DHX34	1514.2933203952623	0.9866012323246564	0.06949039129034025	14.197664079951759	9.471733285808265e-46	6.886507259564126e-44	P-Adj < 0.05
MRPL21	762.226271804171	0.2098919097290051	0.04200317692223232	4.997048440350452	5.821444925850674e-7	1.4419450758219303e-6	P-Adj < 0.05
DHX32	1251.9765642248271	-0.4627443121371598	0.06419763351228051	-7.208121029081864	5.672919920560092e-13	2.7072312825530014e-12	P-Adj < 0.05
RRP1	1389.2970662431685	0.6234605816533786	0.061977993200110486	10.059386396077555	8.351725122989747e-24	9.647413319640493e-23	P-Adj < 0.05
URB2	1211.095576942427	0.14675306193730048	0.05233233975335108	2.804251876162353	0.005043348914219791	0.008053719971544781	P-Adj < 0.05
RBFOX1	1575.4580570280411	1.653305596421401	0.22674869473690606	7.291356619890195	3.06849337798326e-13	1.5354889940029593e-12	P-Adj < 0.05
NIP7	715.1283027331268	0.12208881199676955	0.04736003262476499	2.577886991001104	0.009940650201734073	0.015131334543526248	P-Adj < 0.05
NUDT16L1	1296.9478704106255	-0.2245323154801811	0.05560600277540243	-4.037915050054703	5.3928373853864224e-5	1.0909242239505104e-4	P-Adj < 0.05
NKAP	1010.1496256210794	0.1263528241209729	0.04105831900182669	3.07739886076075	0.002088156860440681	0.0034690347842804862	P-Adj < 0.05
ZNF346	1343.1842482487134	0.1228779602471957	0.05359343783142573	2.292779959996211	0.02186067633139072	0.03171337552300344	P-Adj < 0.05
PPAN	1418.3383061255618	0.42252460146935483	0.06132869413284096	6.88950918397424	5.598521048835171e-12	2.4891266245900257e-11	P-Adj < 0.05
ADARB2	3094.0482758484136	-0.8820176192498075	0.201267290940488	-4.382319725814803	1.1742231734387778e-5	2.559682261676066e-5	P-Adj < 0.05
RPUSD4	917.0652436252899	0.3330751519078586	0.03873192379257904	8.59949930944755	8.00646249966003e-18	5.687349223896436e-17	P-Adj < 0.05
MTO1	960.2485009434389	0.12904614782991455	0.03794154044423805	3.4011836714845876	6.70947308661764e-4	0.0011932242784258133	P-Adj < 0.05
THOC3	793.3949506276005	0.5839427333134807	0.06758784207410876	8.63975998335912	5.633123753816895e-18	4.04798893006842e-17	P-Adj < 0.05
MAGOH	406.7097978098576	0.1442714888617119	0.04471853519312333	3.226212313052184	0.0012544026762220863	0.0021504045878092907	P-Adj < 0.05
RBPMS	1224.8800260091978	0.5134457780122006	0.16069977826387713	3.195062143577428	0.0013980073486559372	0.0023785475896811055	P-Adj < 0.05
PRPF40B	1497.094849564705	0.42211636636322836	0.06533392025201178	6.460906750046588	1.0407744213650864e-10	4.0325930558220897e-10	P-Adj < 0.05
UTP14A	849.7116268729253	0.18211377189410158	0.04668011438339986	3.9013137456849063	9.567205754077377e-5	1.8769946527047045e-4	P-Adj < 0.05
LARP1B	982.957485930351	0.7810930987794936	0.05429464030685528	14.386191608693137	6.318045563015235e-47	5.577931654204879e-45	P-Adj < 0.05
DDX55	941.0223431973626	1.0140762203339442	0.05050245534301224	20.07974094420454	1.1097195737077863e-89	1.371613393102824e-86	P-Adj < 0.05
UPF3B	600.5914436307319	0.5378143108129614	0.06368451855778261	8.444977256520964	3.041046550340491e-17	2.0539527520332499e-16	P-Adj < 0.05
